Name,Set Name,Owner,Quantity,MARKET
Banish from Edoras,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Banishing Light,Bloomburrow,Eric,2,0.06
Banishing Light,Tales of Middle-earth Commander,Eric,1,0.03
Banishing Slash,Kamigawa: Neon Dynasty,Eric,1,0.08
Banquet Guests,Tales of Middle-earth Commander,Eric,1,0.23
Bar the Gate,Adventures in the Forgotten Realms,Eric,1,0.07
Barad-dûr,The Lord of the Rings: Tales of Middle-earth,Eric,1,1.59
Barbarian Class,Adventures in the Forgotten Realms,Eric,2,0.24
Bard Class,Adventures in the Forgotten Realms,Eric,1,1.23
Bark-Knuckle Boxer,Bloomburrow,Eric,1,0.02
Barkform Harvester,Bloomburrow,Eric,1,0.05
Baron Bertram Graywater,Outlaws of Thunder Junction,Eric,2,0.23
Barrow-Blade,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.19
Barrowgoyf,Modern Horizons 3 Commander,Eric,1,7.99
Barrowin of Clan Undurr,Adventures in the Forgotten Realms,Eric,1,0.18
Basilica Guards,Ravnica Remastered,Eric,1,0.01
Basilisk Collar,Commander Legends: Battle for Baldur's Gate,Eric,3,3.12
Basilisk Gate,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Basim Ibn Ishaq,Assassin's Creed,Eric,2,4.22
Bastion of Remembrance,Commander Masters,Eric,1,0.44
Bastion Protector,Tales of Middle-earth Commander,Eric,1,0.67
Bat Token,Crimson Vow Commander Tokens,Eric,4,0.15
Battle Cry Goblin,Adventures in the Forgotten Realms,Eric,1,0.54
Battle Screech,Phyrexia: All Will Be One Commander,Eric,1,0.05
Battle-Scarred Goblin,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.04
Battle-Scarred Goblin,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.04
Battlefield Forge,Outlaws of Thunder Junction Commander,Eric,2,1.21
Battlefield Forge,Modern Horizons 3 Commander,Eric,1,1.06
Battlefield Forge,Tales of Middle-earth Commander,Eric,1,0.99
Battlefield Improvisation,Assassin's Creed,Eric,4,2.88
Battlefield Raptor,Kaldheim,Eric,1,0.12
Battlemage's Bracers,Commander 2021,Eric,1,4.24
Battlesong Berserker,Foundations,Eric,1,0.04
Bayek of Siwa,Assassin's Creed,Eric,1,2.88
Bayek of Siwa,Assassin's Creed,Eric,1,1.32
Bayek of Siwa,Assassin's Creed,Eric,2,0.80
"Baylen, the Haymaker",Bloomburrow,Eric,1,1.17
Bayou Groff,Strixhaven: School of Mages,Eric,1,0.06
Beamtown Beatstick,March of the Machine,Eric,1,0.33
Bear Umbra,Neon Dynasty Commander,Eric,1,9.94
Bear Umbra,Wilds of Eldraine Commander,Eric,1,9.72
Beast Token,Neon Dynasty Commander Tokens,Eric,1,0.14
Beast Token,Forgotten Realms Commander Tokens,Eric,5,0.05
Beast Token,March of the Machine Commander Tokens,Eric,2,
Beast Token (Deathtouch),Modern Horizons 3 Commander Tokens,Eric,1,0.06
Beast Within,Forgotten Realms Commander,Eric,1,1.79
Beast Within,Tales of Middle-earth Commander,Eric,1,1.23
Beast-Kin Ranger,Foundations,Eric,2,0.04
Become Anonymous,Assassin's Creed,Eric,1,0.99
Become Anonymous,Assassin's Creed,Eric,2,0.19
Become Anonymous,Assassin's Creed,Eric,4,0.07
Bedevil,Forgotten Realms Commander,Eric,1,0.63
Bedlam Reveler,Innistrad Remastered,Eric,1,0.13
Belligerent Guest,Innistrad: Crimson Vow,Eric,2,0.03
Belligerent Yearling,The Lost Caverns of Ixalan,Eric,1,0.09
Belt of Giant Strength,Forgotten Realms Commander,Eric,1,1.69
Benalish Faithbonder,Dominaria United,Eric,1,0.03
Beregond of the Guard,Tales of Middle-earth Commander,Eric,1,0.16
Berserk,Secret Lair Drop,Eric,1,11.76
Berserker's Frenzy,Forgotten Realms Commander,Eric,1,1.52
Bespoke Battlegarb,Wilds of Eldraine,Eric,1,0.04
Bespoke Battlewagon,Modern Horizons 3,Eric,1,0.04
Bestial Bloodline,Wilds of Eldraine,Eric,1,0.03
Betrayal at the Vault,Outlaws of Thunder Junction,Eric,1,0.05
Bewitching Leechcraft,The Lord of the Rings: Tales of Middle-earth,Eric,3,0.03
"Beza, the Bounding Spring",Bloomburrow,Eric,1,8.63
Bhaal's Invoker,Commander Legends: Battle for Baldur's Gate,Eric,1,0.07
Bident of Thassa,Modern Horizons 3 Commander,Eric,1,0.38
Big Score,Streets of New Capenna,Eric,1,1.46
"Bilbo, Birthday Celebrant",Tales of Middle-earth Commander,Eric,1,0.20
"Bill Ferny, Bree Swindler",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
"Bill Ferny, Bree Swindler",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
Billowing Shriekmass,Foundations,Eric,1,0.02
Binding Geist,Innistrad: Crimson Vow,Eric,1,0.04
Biolume Egg,Innistrad Remastered,Eric,1,0.06
Bird Token,Tales of Middle-earth Commander Tokens,Eric,2,0.17
Bird Token,Tales of Middle-earth Commander Tokens,Eric,3,0.15
Bird Token,Phyrexia: All Will Be One Commander Tokens,Eric,1,0.06
Birds of Paradise,Tales of Middle-earth Commander,Eric,1,7.65
Birthday Escape,The Lord of the Rings: Tales of Middle-earth,Eric,3,0.13
Bite Down,Foundations,Eric,3,0.04
Bitter Downfall,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
Bitterblossom,Wilds of Eldraine: Enchanting Tales,Eric,1,14.55
Bituminous Blast,Forgotten Realms Commander,Eric,1,0.07
Bituminous Blast,Modern Horizons 3 Commander,Eric,1,0.04
Black Dragon,Adventures in the Forgotten Realms,Eric,1,0.50
Black Dragon,Adventures in the Forgotten Realms,Eric,1,0.12
Black Market Connections,Assassin's Creed,Eric,1,12.82
Black Market Connections,Assassin's Creed,Eric,1,8.56
Black Market Connections,Assassin's Creed,Eric,1,8.33
"Black Panther, Wakandan King",Secret Lair Drop,Eric,1,16.05
Blackblade Reforged,Neon Dynasty Commander,Eric,1,1.47
Blackcleave Cliffs,Outlaws of Thunder Junction Commander,Eric,1,2.12
Blacksmith's Talent,Bloomburrow,Eric,1,0.15
Blacksnag Buzzard,Outlaws of Thunder Junction,Eric,2,0.03
Blade Juggler,Ravnica Remastered,Eric,1,0.02
Blade of Selves,Secret Lair Drop,Eric,1,8.54
Blade of the Oni,Kamigawa: Neon Dynasty,Eric,1,1.33
Bladebrand,Ravnica Remastered,Eric,1,0.02
Bladewing the Risen,The List,Eric,1,2.49
Blanchwood Armor,The Brothers' War,Eric,1,0.07
Blasphemous Act,Crimson Vow Commander,Eric,1,3.65
Blasphemous Act,Double Masters,Eric,1,3.48
Blaster Hulk,Modern Horizons 3 Commander,Eric,1,0.18
Blazemire Verge,Duskmourn: House of Horror,Eric,1,5.45
Bleeding Effect,Assassin's Creed,Eric,4,0.13
Bleeding Effect,Assassin's Creed,Eric,4,0.07
Bleeding Woods,Duskmourn: House of Horror,Eric,2,0.06
Blight Sickle,Shadowmoor,Eric,1,0.24
Blink Dog,Adventures in the Forgotten Realms,Eric,1,0.19
Blink Dog,Adventures in the Forgotten Realms,Eric,1,0.07
Blood Age General,Strixhaven: School of Mages,Eric,1,0.03
Blood Artist,Crimson Vow Commander,Eric,1,2.48
Blood Hustler,Outlaws of Thunder Junction,Eric,2,0.08
Blood Hypnotist,Innistrad: Crimson Vow,Eric,1,0.06
Blood Pact,Innistrad: Midnight Hunt,Eric,1,0.11
Blood Petal Celebrant,Innistrad: Crimson Vow,Eric,2,0.01
Blood Price,Zendikar Rising,Eric,1,0.02
Blood Token,Innistrad: Crimson Vow Tokens,Eric,11,0.24
Blood Token,March of the Machine Commander Tokens,Eric,2,0.16
Blood Token,Outlaws of Thunder Junction Commander Tokens,Eric,1,
Bloodboil Sorcerer,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Bloodbraid Challenger,Modern Horizons 3 Commander,Eric,1,0.19
Bloodbraid Elf,Modern Horizons 3 Commander,Eric,1,0.05
Bloodcrazed Socialite,Innistrad: Crimson Vow,Eric,1,0.02
Bloodfell Caves,Commander 2017,Eric,2,0.16
Bloodflow Connoisseur,Double Masters 2022,Eric,1,0.05
Bloodforged Battle-Axe,Double Masters 2022,Eric,1,0.59
Bloodforged Battle-Axe,March of the Machine Commander,Eric,1,0.40
Bloodline Necromancer,Crimson Vow Commander,Eric,1,0.27
Bloodlord of Vaasgoth,Crimson Vow Commander,Eric,1,1.03
Bloodsworn Squire,Innistrad: Crimson Vow,Eric,1,0.04
Bloodsworn Squire,Innistrad: Crimson Vow,Eric,1,0.03
Bloodsworn Steward,Crimson Vow Commander,Eric,1,0.19
Bloodtithe Harvester,Innistrad: Crimson Vow,Eric,1,0.16
Bloodtracker,Crimson Vow Commander,Eric,1,0.13
Bloody Betrayal,Innistrad: Crimson Vow,Eric,1,0.06
Blossom Prancer,The List,Eric,1,0.15
Blossoming Sands,Foundations,Eric,1,0.04
Blue Dragon,Adventures in the Forgotten Realms,Eric,1,0.14
Blur,Commander Legends: Battle for Baldur's Gate,Eric,1,0.12
Boarded Window,Innistrad Remastered,Eric,1,0.20
Body Double,Double Masters 2022,Eric,1,0.11
Bogardan Hellkite,Forgotten Realms Commander,Eric,1,0.47
Bojuka Bog,Forgotten Realms Commander,Eric,1,1.18
Bojuka Bog,March of the Machine Commander,Eric,1,1.13
Bojuka Bog,Outlaws of Thunder Junction Commander,Eric,1,1.12
Boltwave,Foundations,Eric,1,2.93
Bombadil's Song,The Lord of the Rings: Tales of Middle-earth,Eric,3,0.05
Bonders' Enclave,Outlaws of Thunder Junction Commander,Eric,1,0.48
Bone Sabres,"Warhammer 40,000",Eric,1,5.42
Bonecache Overseer,Bloomburrow,Eric,1,0.12
Bonecaller Cleric,Commander Legends: Battle for Baldur's Gate,Eric,1,0.04
Bonehoard,Neon Dynasty Commander,Eric,1,0.25
Boneyard Desecrator,Outlaws of Thunder Junction,Eric,1,0.05
"Bonny Pall, Clearcutter",Outlaws of Thunder Junction,Eric,1,0.57
Book of Mazarbul,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
Boom Box,Outlaws of Thunder Junction,Eric,2,0.05
Boots of Speed,Adventures in the Forgotten Realms,Eric,1,0.14
Boots of Speed,Adventures in the Forgotten Realms,Eric,2,0.09
Borne Upon a Wind,The Lord of the Rings: Tales of Middle-earth,Eric,1,1.11
"Boromir, Gondor's Hope",Tales of Middle-earth Commander,Eric,1,0.15
Boros Charm,Outlaws of Thunder Junction Commander,Eric,1,4.10
Boros Charm,Phyrexia: All Will Be One Commander,Eric,1,3.81
Boros Garrison,Phyrexia: All Will Be One Commander,Eric,1,0.23
Boros Guildgate,Modern Masters 2017,Eric,1,0.11
Boros Signet,Phyrexia: All Will Be One Commander,Eric,2,1.04
Bortuk Bonerattle,Dominaria United,Eric,1,0.02
Bounding Felidar,Outlaws of Thunder Junction,Eric,1,0.05
Bountiful Promenade,Commander Legends: Battle for Baldur's Gate,Eric,1,7.79
Bounty Board,Outlaws of Thunder Junction Commander,Eric,1,0.42
"Bounty: Eriana, Wrecking Ball",Outlaws of Thunder Junction Commander Tokens,Eric,1,0.14
"Bounty: Lyssa, Sterling Collector",Outlaws of Thunder Junction Commander Tokens,Eric,1,0.10
Bounty: Squeakers the Sly,Outlaws of Thunder Junction Commander Tokens,Eric,1,0.12
